iter	Passed	Remaining
0	148	147966
1	150	74940
2	152	50675
3	154	38413
4	155	30994
5	157	26116
6	159	22673
7	161	20062
8	163	18016
9	165	16381
10	167	15038
11	169	13930
12	170	12959
13	172	12171
14	174	11428
15	175	10789
16	176	10222
17	178	9711
18	179	9253
19	180	8841
20	181	8472
21	182	8133
22	184	7829
23	185	7544
24	187	7306
25	188	7077
26	190	6865
27	191	6663
28	193	6490
29	195	6317
30	196	6156
31	198	6004
32	199	5860
33	201	5718
34	202	5588
35	204	5469
36	205	5355
37	207	5244
38	208	5141
39	210	5043
40	211	4945
41	212	4851
42	214	4772
43	215	4691
44	217	4617
45	219	4550
46	221	4485
47	223	4424
48	224	4363
49	226	4307
50	228	4248
51	229	4189
52	231	4139
53	233	4085
54	234	4034
55	236	3988
56	238	3940
57	239	3892
58	241	3850
59	243	3810
60	244	3770
61	246	3728
62	247	3687
63	249	3653
64	251	3621
65	253	3586
66	254	3550
67	255	3508
68	258	3481
69	260	3456
70	261	3427
71	264	3403
72	266	3378
73	267	3349
74	269	3320
75	271	3296
76	272	3270
77	274	3244
78	276	3221
79	277	3195
80	279	3171
81	281	3150
82	283	3128
83	285	3110
84	286	3084
85	288	3064
86	289	3038
87	291	3025
88	293	3006
89	295	2985
90	297	2972
91	299	2959
92	302	2946
93	304	2933
94	306	2916
95	308	2901
96	310	2891
97	312	2880
98	315	2867
99	317	2859
100	319	2848
101	321	2831
102	323	2821
103	326	2810
104	328	2799
105	330	2787
106	332	2777
107	335	2767
108	337	2756
109	339	2746
110	341	2738
111	344	2729
112	347	2725
113	349	2718
114	351	2708
115	353	2696
116	356	2688
117	358	2681
118	360	2669
119	362	2660
120	365	2652
121	367	2645
122	368	2629
123	371	2621
124	373	2612
125	375	2602
126	377	2594
127	378	2580
128	380	2571
129	383	2563
130	385	2554
131	387	2546
132	389	2538
133	391	2531
134	394	2524
135	395	2515
136	398	2509
137	400	2499
138	402	2491
139	404	2485
140	407	2481
141	409	2472
142	411	2468
143	413	2460
144	415	2452
145	418	2446
146	420	2438
147	422	2431
148	424	2424
149	426	2415
150	428	2411
151	431	2407
152	433	2401
153	436	2396
154	438	2390
155	440	2385
156	443	2379
157	445	2374
158	447	2366
159	449	2361
160	452	2356
161	454	2350
162	456	2344
163	458	2336
164	460	2332
165	463	2326
166	464	2319
167	467	2313
168	469	2308
169	471	2303
170	474	2299
171	476	2294
172	479	2289
173	481	2285
174	483	2281
175	486	2279
176	489	2274
177	491	2269
178	493	2263
179	495	2256
180	496	2248
181	498	2242
182	501	2236
183	503	2233
184	505	2227
185	507	2223
186	510	2218
187	512	2212
188	514	2208
189	516	2201
190	518	2195
191	520	2191
192	523	2187
193	525	2184
194	528	2181
195	531	2178
196	533	2174
197	536	2171
198	538	2166
199	540	2161
200	542	2156
201	544	2149
202	545	2142
203	548	2138
204	550	2132
205	551	2127
206	554	2123
207	556	2118
208	558	2111
209	559	2106
210	561	2101
211	563	2094
212	565	2089
213	567	2082
214	569	2077
215	570	2072
216	573	2068
217	575	2064
218	577	2059
219	579	2056
220	582	2051
221	584	2046
222	586	2044
223	588	2040
224	591	2036
225	593	2033
226	595	2027
227	597	2022
228	599	2018
229	601	2014
230	603	2009
231	605	2005
232	608	2001
233	610	1998
234	612	1993
235	614	1989
236	616	1985
237	619	1982
238	621	1978
239	623	1974
240	625	1970
241	628	1967
242	630	1963
243	632	1959
244	634	1955
245	636	1952
246	639	1948
247	640	1943
248	643	1939
249	645	1935
250	647	1933
251	649	1929
252	652	1926
253	655	1923
254	657	1921
255	660	1919
256	662	1915
257	664	1911
258	667	1908
259	668	1903
260	670	1899
261	673	1895
262	675	1892
263	677	1889
264	680	1886
265	682	1883
266	684	1878
267	686	1874
268	688	1870
269	690	1865
270	692	1862
271	694	1859
272	696	1855
273	698	1851
274	700	1847
275	703	1844
276	705	1841
277	707	1837
278	709	1833
279	712	1831
280	714	1827
281	716	1824
282	719	1821
283	721	1819
284	723	1815
285	725	1812
286	728	1809
287	731	1807
288	733	1805
289	736	1803
290	738	1799
291	741	1796
292	743	1793
293	746	1792
294	748	1788
295	751	1786
296	753	1783
297	755	1780
298	757	1777
299	759	1773
300	762	1770
301	764	1767
302	766	1763
303	768	1760
304	771	1757
305	773	1754
306	776	1751
307	778	1748
308	780	1745
309	784	1745
310	786	1742
311	789	1740
312	791	1738
313	795	1737
314	797	1734
315	799	1731
316	802	1728
317	804	1724
318	807	1723
319	809	1719
320	811	1716
321	814	1714
322	816	1711
323	819	1708
324	821	1705
325	823	1702
326	826	1700
327	828	1698
328	831	1695
329	833	1692
330	836	1689
331	838	1687
332	841	1684
333	843	1682
334	846	1681
335	850	1680
336	853	1678
337	855	1675
338	858	1673
339	861	1671
340	865	1672
341	868	1670
342	871	1669
343	873	1666
344	875	1663
345	878	1660
346	882	1661
347	885	1658
348	887	1655
349	890	1653
350	892	1650
351	896	1650
352	898	1646
353	900	1643
354	905	1645
355	907	1642
356	910	1639
357	912	1637
358	915	1634
359	917	1631
360	921	1630
361	923	1627
362	925	1624
363	928	1621
364	930	1619
365	933	1616
366	936	1614
367	945	1624
368	950	1626
369	958	1631
370	966	1637
371	972	1641
372	986	1659
373	994	1664
374	998	1663
375	1004	1666
376	1009	1668
377	1012	1666
378	1015	1664
379	1018	1662
380	1022	1661
381	1026	1659
382	1028	1656
383	1030	1653
384	1033	1650
385	1035	1646
386	1037	1643
387	1039	1639
388	1044	1639
389	1047	1639
390	1051	1637
391	1055	1637
392	1059	1635
393	1061	1632
394	1063	1628
395	1065	1625
396	1067	1622
397	1070	1618
398	1072	1615
399	1074	1612
400	1077	1608
401	1079	1605
402	1081	1601
403	1084	1599
404	1086	1595
405	1088	1592
406	1090	1589
407	1093	1586
408	1095	1583
409	1097	1579
410	1099	1576
411	1102	1573
412	1105	1570
413	1108	1568
414	1111	1566
415	1113	1563
416	1116	1561
417	1118	1557
418	1121	1554
419	1123	1551
420	1126	1548
421	1128	1545
422	1131	1542
423	1133	1539
424	1136	1537
425	1139	1534
426	1141	1532
427	1144	1528
428	1146	1526
429	1148	1522
430	1150	1519
431	1153	1516
432	1155	1512
433	1157	1509
434	1159	1506
435	1162	1503
436	1164	1500
437	1166	1497
438	1169	1493
439	1171	1490
440	1173	1487
441	1176	1484
442	1178	1481
443	1181	1479
444	1183	1476
445	1186	1473
